pais,causa,metrica,sexo,edad,anio,valor,limite_superior,limite_inferior
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,7985295.64444965,8799384.022480402,7260533.377656535
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,22959.83469082314,25300.553859599066,20875.951691790706
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,14933304.817674069,16809515.845072925,13289040.998303022
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,16415.87731272287,18478.357816174783,14608.371642805909
Colombia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,5418718.189023668,6112143.179871251,4800584.867326136
Colombia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,15516.944884508075,17502.6243365818,13746.86931507037
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,1834621.036084063,2052754.810503665,1637653.507316854
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,16585.45008353116,18557.43599016328,14804.81252831274
Perú,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,3567180.6685572523,4043879.0140387146,3129899.3818444554
Perú,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,15788.6391246104,17898.545756042586,13853.195682479947
Colombia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1992,5291558.950138087,5969788.478250747,4696054.779055296
Colombia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1992,15511.975565503595,17500.176012105807,13766.280915205736
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,3285992.152081459,3707572.65576795,2918802.142898377
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,15903.226345486932,17943.550808442134,14126.135726405246
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,859426.3664735054,941255.0291733484,789019.537498269
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,26616.00074315902,29150.193120997686,24435.536790187987
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,30751379.84316529,34597118.86465467,27457354.99205936
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,19315.917141899583,21731.547811720357,17246.83564338393
Perú,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,3673433.0670513473,4151236.098575145,3226704.958168172
Perú,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,15967.462831704202,18044.34895089405,14025.651358820807
Colombia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,5534142.488426691,6243117.374489663,4906185.387465959
Colombia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,15494.350108149534,17479.3197986694,13736.211933078755
Paraguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,690439.1033627605,781246.7907766447,604601.3889396624
Paraguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,15201.748610328836,17201.107611329528,13311.816030337708
Chile,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,2592994.9235862405,2908389.955578776,2296031.832027333
Chile,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,18545.76491327418,20801.551095091447,16421.808698059693
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,1390484.89007234,1552627.066725979,1230986.9258809793
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,19641.89973021689,21932.30964305253,17388.841791804145
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,15269305.012582958,17213160.090913173,13573025.406383945
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,16437.36850987659,18529.9236213226,14611.327772599769
Paraguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1993,665720.84927709,755629.0488909599,583277.094823025
Paraguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1993,15042.885918996044,17074.486388535828,13179.95494074448
Chile,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,2628659.266003608,2946043.5875012605,2330981.850396938
Chile,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,18547.275215923582,20786.673237632804,16446.925039608937
Perú,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1994,3771292.143410403,4284301.471694388,3330304.377575961
Perú,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1994,16111.632116563633,18303.2993901052,14227.653792729856
